,year_month,mae,mse,rmse
0,2017_4,0.09791874509798389,0.022644806972656795,0.15048191576617037
0,2017_5,0.05890034819939898,0.010245157866912668,0.1012183672408949
0,2017_6,0.09243220484284236,0.016440945043641783,0.1282222486296422
0,2017_7,0.07852637684916713,0.012038734512080797,0.10972116711045685
0,2017_8,0.07677862386294355,0.015665596728592395,0.12516228157313367
0,2017_9,0.0816383750377053,0.015389907410167292,0.12405606559200276
0,2017_10,0.06993430378739066,0.008425948716572075,0.09179296659642325
0,2018_4,0.04360493006765548,0.00331345847217727,0.05756264823804817
0,2018_5,0.06308040501503157,0.008700411350293038,0.09327599557385081
0,2018_6,0.08037025545440364,0.011612063371345595,0.10775928438582727
0,2018_7,0.08127681382964243,0.011365656754634667,0.1066098342304061
0,2018_8,0.08759874477912595,0.01296698092096342,0.11387265220834816
0,2018_9,0.07664535117690882,0.011185427829366271,0.10576118299908654
0,2018_10,0.07237014201606666,0.00896320524489742,0.09467420580547492
0,2019_4,0.06889440825899046,0.007947137667858546,0.0891467198939958
0,2019_5,0.06373706349180375,0.007818414716837222,0.08842180000903184
0,2019_6,0.07508832794620478,0.011625093121329907,0.10781972510320136
0,2019_7,0.07639333419333812,0.010851495430823909,0.1041705113303372
0,2019_8,0.07461971270122356,0.010153312887904555,0.10076364864327092
0,2019_9,0.07230046342062792,0.010952902416669227,0.10465611504670536
0,2019_10,0.08195676019333387,0.013068072426037507,0.11431567008086646
0,2020_4,0.07889659049030148,0.010955806505351377,0.10466998856095942
0,2020_5,0.05816613239280166,0.006784009853788002,0.08236510094565538
0,2020_6,0.08313562959647416,0.013568216966338364,0.1164826895565962
0,2020_7,0.0700233992985383,0.009517646170289468,0.09755842439425448
0,2020_8,0.07192400485423373,0.010417989162744482,0.10206855129149468
0,2020_9,0.07672038247098209,0.012805725414302816,0.11316238515647686
0,2020_10,0.06380544232304977,0.008284955756017698,0.09102173232815171
0,2021_4,0.0731782719042975,0.00965639979650929,0.09826698222958355
0,2021_5,0.037816452108406284,0.0028444097641292213,0.0533330082043871
0,2021_6,0.06638751013981141,0.008739489711288564,0.0934852379324595
0,2021_7,0.07944787439007002,0.012508724809528497,0.11184241060317189
0,2021_8,0.064428561459651,0.009337204067577511,0.09662920918427052
0,2021_9,0.054671379554481446,0.007220324883716272,0.08497249486578744
0,2021_10,0.06155112146887537,0.00860287605575445,0.0927516903121148
0,2022_4,0.057924001881248896,0.005562683378534739,0.07458339881323953
0,2022_5,0.05859460313236582,0.005953802513949036,0.07716088720296725
0,2022_6,0.06306745596183112,0.0075119633637879425,0.0866715833695678
0,2022_7,0.06771554806318207,0.008073759157331842,0.0898540992795089
0,2022_8,0.05712198510950398,0.005878161718014249,0.07666917058384191
0,2022_9,0.06679616291648872,0.007849728368101695,0.08859869281260134
0,2022_10,0.05313728962271306,0.004974125676916763,0.07052748171398694
